playerID,yearID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA
50126,2023,LG,1,5,0,0,0,2,0,0,0,91,19 2/3,22,1,10,0,7,13,11,5.03
50157,2020,LG,1,23,0,0,2,4,0,2,0.333,308,67 2/3,87,7,24,6,38,50,47,6.25
50157,2021,LG,1,35,0,0,7,4,0,1,0.636,301,66 2/3,65,3,36,6,56,37,33,4.46
50157,2022,LG,1,23,0,0,8,5,0,0,0.615,483,114 1/3,125,5,27,1,81,46,42,3.31
50157,2023,LG,1,17,0,0,6,4,0,0,0.6,320,74 2/3,86,4,25,3,42,35,35,4.22
50157,2024,LG,1,1,0,0,0,0,0,0,-,17,3,7,0,1,0,1,4,4,12
50203,2020,Doosan,1,14,0,0,0,1,0,1,0,63,13 2/3,16,1,6,2,10,8,8,5.27
50203,2021,Doosan,1,24,0,0,0,0,0,1,-,92,20 1/3,16,0,14,2,15,6,6,2.66
50203,2022,Doosan,1,10,0,0,0,0,0,1,-,40,9 1/3,8,1,5,1,5,6,6,5.79
50203,2024,Doosan,1,8,0,0,0,0,0,0,-,49,9,15,0,7,0,11,11,11,11
50205,2021,Doosan,1,10,0,0,0,0,0,0,-,49,11 2/3,12,0,4,3,7,7,7,5.4
50205,2022,Doosan,1,8,0,0,0,0,0,0,-,33,6,7,0,7,0,3,3,2,3
50206,2024,Doosan,1,11,0,0,1,0,1,2,1,42,9 2/3,8,2,5,0,8,4,4,3.72
50206,2025,Doosan,1,3,0,0,0,0,0,0,-,9,1 2/3,1,0,3,0,5,1,1,5.4
50211,2023,Doosan,1,1,0,0,0,0,0,0,-,14,2,3,0,4,0,2,4,3,13.5
50234,2020,Doosan,1,21,0,0,8,4,0,0,0.667,472,116 2/3,97,6,30,2,132,43,39,3.01
50262,2020,Doosan,1,4,0,0,0,0,0,0,-,19,3 1/3,3,0,7,0,2,3,3,8.1
50296,2020,Doosan,1,4,0,0,0,1,0,0,0,31,6,6,1,7,1,6,7,7,10.5
50296,2021,Doosan,1,6,0,0,0,1,0,0,0,60,10 2/3,18,1,10,1,5,13,13,10.97
50298,2020,Doosan,1,3,0,0,0,0,0,0,-,15,3,5,1,0,0,1,2,1,3
50298,2021,Doosan,1,1,0,0,0,0,0,0,-,5,1 1/3,1,0,1,0,0,0,0,0
50354,2021,Kiwoom,1,2,0,0,0,0,0,0,-,17,2 1/3,4,1,7,0,3,6,6,23.14
50354,2023,Kiwoom,1,11,0,0,0,1,0,0,0,72,13 2/3,22,0,6,1,10,13,11,7.24
50354,2024,Kiwoom,1,12,0,0,1,8,0,0,0.111,212,43 2/3,56,9,22,5,21,39,37,7.63
50360,2020,Kiwoom,1,8,0,0,0,1,0,0,0,36,8 2/3,8,1,1,1,6,5,5,5.19
50360,2021,Kiwoom,1,40,0,0,0,5,1,0,0,367,82,89,5,34,14,30,51,46,5.05
50360,2022,Kiwoom,1,24,0,0,2,1,0,3,0.667,115,26 2/3,28,0,11,1,18,14,14,4.73
50360,2023,Kiwoom,1,35,0,0,1,7,0,6,0.125,192,39 1/3,51,1,18,6,24,34,32,7.32
50360,2024,Kiwoom,1,17,0,0,0,2,0,0,0,102,22 1/3,27,7,10,2,9,21,17,6.85
50393,2021,Kiwoom,1,3,0,0,0,0,0,0,-,16,3,7,2,1,0,2,3,3,9
50393,2024,Kiwoom,1,37,0,0,2,1,0,3,0.667,146,36,33,4,6,2,18,20,20,5
50397,2020,Kiwoom,1,1,0,0,0,1,0,0,0,3,3-Jan,1,0,1,0,1,1,1,27
50397,2021,Kiwoom,1,2,0,0,0,0,0,0,-,12,3-Feb,5,0,3,1,0,9,6,81
50404,2020,Samsung,1,27,1,0,15,7,0,0,0.682,728,174 2/3,172,16,50,7,121,71,67,3.45
50404,2021,Samsung,1,30,1,1,16,5,0,0,0.762,758,177,173,13,59,2,162,71,61,3.1
50404,2022,Samsung,1,26,1,1,11,8,0,0,0.579,691,160,176,10,39,8,117,61,54,3.04
50404,2023,Samsung,1,30,1,0,12,8,0,0,0.6,784,188,174,4,43,6,139,71,53,2.54
50411,2022,Samsung,1,8,0,0,0,0,0,0,-,29,6 2/3,5,1,4,0,3,3,1,1.35
50430,2020,Samsung,1,1,0,0,0,0,0,0,-,6,1,1,0,1,1,0,0,0,0
50430,2023,Samsung,1,3,0,0,0,0,0,0,-,15,3 2/3,2,0,2,0,1,1,1,2.45
50430,2024,Samsung,1,4,0,0,0,0,0,0,-,28,6 1/3,4,1,6,0,5,3,3,4.26
50441,2020,Samsung,1,1,0,0,0,0,0,0,-,16,1 1/3,8,1,4,0,3,8,8,54
50441,2022,Samsung,1,16,0,0,1,3,0,0,0.25,312,66 1/3,91,9,31,0,53,58,52,7.06
50441,2023,Samsung,1,7,0,0,0,5,0,0,0,155,31 2/3,40,6,21,2,27,27,25,7.11
50441,2024,Samsung,1,15,0,0,1,2,0,0,0.333,180,42,38,2,18,4,30,20,19,4.07
50441,2025,Samsung,1,2,0,0,0,0,0,0,-,12,3,2,0,1,0,3,0,0,0
50449,2020,Samsung,1,11,0,0,2,1,0,0,0.667,204,45,43,4,31,2,18,26,24,4.8
50449,2021,Samsung,1,1,0,0,0,1,0,0,0,22,3 2/3,8,1,1,1,3,6,5,12.27
50449,2022,Samsung,1,12,0,0,4,3,0,0,0.571,264,55,64,8,34,6,36,43,40,6.55
50449,2023,Samsung,1,7,0,0,0,1,0,0,0,60,10 2/3,16,0,12,0,8,12,12,10.13
50464,2020,Samsung,1,7,0,0,1,3,0,0,0.25,128,26 1/3,34,5,19,0,16,21,20,6.84
50464,2021,Samsung,1,11,0,0,1,4,0,0,0.2,173,35 2/3,50,6,18,3,22,34,34,8.58
50464,2022,Samsung,1,2,0,0,0,0,0,0,-,23,5 1/3,2,0,5,0,2,1,1,1.69
50464,2024,Samsung,1,25,0,0,1,4,0,0,0.2,237,47 1/3,71,14,26,3,23,48,45,8.56
50464,2025,Samsung,1,11,0,0,1,0,0,0,1,69,16,17,2,3,1,15,7,6,3.38
50524,2020,Lotte,1,25,0,0,9,12,0,0,0.429,590,130,167,14,36,6,87,87,78,5.4
50556,2020,Lotte,1,31,0,0,0,2,0,8,0,130,29 2/3,31,3,11,2,26,16,16,4.85
50556,2021,Lotte,1,44,0,0,4,2,1,20,0.667,195,47 1/3,41,6,16,1,45,16,15,2.85
50556,2022,Lotte,1,68,0,0,3,4,14,6,0.429,303,71,63,10,20,6,80,35,32,4.06
50556,2023,Lotte,1,47,0,0,2,3,0,14,0.4,210,47 2/3,50,2,18,1,40,15,13,2.45
50556,2024,Lotte,1,27,0,0,1,2,0,3,0.333,105,21 2/3,28,2,14,1,12,13,13,5.4
50558,2020,Lotte,1,31,0,0,15,4,0,0,0.789,777,194 2/3,148,10,51,7,205,61,54,2.5
50558,2021,Lotte,1,31,0,0,10,12,0,0,0.455,714,165 2/3,162,12,67,7,164,85,75,4.07
50558,2022,Lotte,1,11,0,0,4,2,0,0,0.667,260,62 1/3,54,5,22,6,55,24,16,2.31
50558,2023,Lotte,1,16,0,0,3,5,0,0,0.375,364,80 1/3,82,6,37,10,70,43,39,4.37
50563,2021,Lotte,1,5,0,0,0,0,0,0,-,13,2 2/3,3,1,2,0,2,5,5,16.88
50573,2022,Lotte,1,1,0,0,0,0,0,0,-,8,3-Feb,6,1,1,0,0,5,5,67.5
50592,2020,Lotte,1,2,0,0,0,0,0,0,-,6,3-Feb,3,0,1,0,0,2,2,27
50596,2021,Lotte,1,1,0,0,0,0,0,0,-,3,3-Jan,0,0,2,0,0,1,1,27
50596,2024,Lotte,1,3,0,0,0,0,0,0,-,24,3 2/3,8,0,1,2,2,7,5,12.27
50604,2024,KIA,1,3,0,0,0,0,0,0,-,14,2 1/3,5,1,0,1,3,4,2,7.71
50636,2020,KIA,1,23,1,1,11,4,0,0,0.733,586,151 1/3,131,4,24,3,130,43,42,2.5
50636,2021,KIA,1,13,0,0,3,5,0,0,0.375,333,78,93,4,16,1,55,34,29,3.35
50640,2020,KIA,1,28,0,0,11,8,0,0,0.579,702,159 2/3,162,7,64,9,141,86,77,4.34
50641,2022,KIA,1,3,0,0,0,0,0,0,-,15,3,3,0,3,0,4,2,2,6
50641,2024,KIA,1,1,0,0,0,0,0,0,-,7,1 1/3,2,0,1,0,0,0,0,0
50641,2025,KIA,1,2,0,0,0,0,0,0,-,11,3,3,1,1,0,2,2,2,6
50650,2021,KIA,1,3,0,0,0,1,0,0,0,39,6 1/3,11,3,7,1,6,10,10,14.21
50662,2020,KIA,1,47,0,0,5,4,1,11,0.556,172,38 1/3,41,2,24,2,32,15,14,3.29
50662,2021,KIA,1,64,0,0,5,4,34,0,0.556,272,65 1/3,49,5,28,4,49,18,16,2.2
50662,2022,KIA,1,55,0,0,3,7,32,0,0.3,238,56,54,3,18,0,43,21,21,3.38
50662,2023,KIA,1,52,0,0,3,4,23,1,0.429,218,49 1/3,53,3,20,1,30,18,16,2.92
50662,2024,KIA,1,53,0,0,2,3,31,1,0.4,210,50 2/3,47,8,16,1,50,14,14,2.49
50662,2025,KIA,1,18,0,0,1,2,11,0,0.333,83,19 2/3,18,1,7,1,25,6,5,2.29
50705,2020,Hanwha,1,50,0,0,1,2,1,14,0.333,203,49,41,3,18,0,57,16,14,2.57
50705,2021,Hanwha,1,58,0,0,2,1,5,13,0.667,269,63 1/3,51,2,26,5,55,16,15,2.13
50705,2022,Hanwha,1,56,0,0,4,8,7,7,0.333,232,51 1/3,44,7,29,4,39,26,24,4.21
50705,2023,Hanwha,1,43,0,0,1,3,0,12,0.25,189,43 1/3,35,5,19,8,42,31,31,6.44
50706,2020,Hanwha,1,2,0,0,0,1,0,0,0,35,7 2/3,7,0,6,0,5,3,3,3.52
50706,2021,Hanwha,1,4,0,0,0,0,0,0,-,38,7 1/3,15,4,2,0,4,8,8,9.82
50711,2024,Hanwha,1,3,0,0,0,0,0,0,-,13,3,4,0,0,1,2,1,1,3
50711,2025,Hanwha,1,3,0,0,0,0,0,0,-,10,1 1/3,3,1,3,0,2,5,5,33.75
50720,2021,Hanwha,1,3,0,0,0,1,0,0,0,41,7 1/3,9,1,7,3,3,6,6,7.36
50720,2022,Hanwha,1,22,0,0,2,11,0,0,0.154,418,89,109,9,45,3,41,68,63,6.37
50720,2023,Hanwha,1,16,0,0,1,7,0,0,0.125,186,37 2/3,54,0,13,6,23,31,27,6.45
50720,2024,Hanwha,1,2,0,0,0,0,0,0,-,17,4,2,0,2,1,3,0,0,0
50726,2020,Hanwha,1,1,0,0,0,0,0,0,-,10,1 2/3,3,1,2,0,2,3,3,16.2
50726,2022,Hanwha,1,7,0,0,0,0,0,0,-,76,15 2/3,25,0,4,3,12,11,11,6.32
50726,2023,Hanwha,1,47,0,0,1,4,0,2,0.2,320,70 2/3,81,6,31,4,55,34,31,3.95
50726,2024,Hanwha,1,18,0,0,0,2,0,0,0,120,22,45,2,10,3,14,31,28,11.45
50758,2021,Hanwha,1,2,0,0,0,0,0,0,-,3,3-Jan,0,0,1,0,0,2,0,0
50812,2022,SSG,1,2,0,0,0,0,0,0,-,6,1,3,0,0,0,0,2,2,18
50812,2024,SSG,1,11,0,0,0,0,0,0,-,70,14 2/3,18,1,7,2,11,11,11,6.75
50812,2025,SSG,1,9,0,0,0,0,0,1,-,57,14,10,1,7,0,10,3,3,1.93
50813,2020,SK,1,1,0,0,0,0,0,0,-,5,1,1,1,2,0,0,1,1,9
50813,2021,SSG,1,1,0,0,0,1,0,0,0,10,1,3,0,3,1,1,3,3,27
50815,2020,SK,1,2,0,0,0,2,0,0,0,52,10 2/3,16,1,4,0,6,11,8,6.75
50815,2021,Hanwha,1,25,0,0,10,8,0,0,0.556,591,144,117,11,41,5,131,58,51,3.19
50815,2022,Hanwha,1,3,0,0,1,2,0,0,0.333,70,16 1/3,15,1,5,1,18,6,5,2.76
50835,2020,SK,1,30,0,0,6,15,0,0,0.286,766,162,198,19,90,11,112,121,111,6.17
50859,2020,SK,1,8,0,0,0,1,0,0,0,50,9 2/3,12,1,6,1,9,10,6,5.59
50859,2021,SSG,1,33,0,0,7,6,0,2,0.538,530,110,125,11,73,10,95,84,72,5.89
50859,2022,SSG,1,31,0,0,6,8,0,0,0.429,633,144,158,16,58,3,112,79,72,4.5
50859,2023,SSG,1,28,1,0,8,10,0,0,0.444,648,144 2/3,158,11,69,9,88,92,84,5.23
50859,2024,SSG,1,29,0,0,6,9,0,1,0.4,550,121 2/3,122,17,65,13,112,72,68,5.03
50859,2025,KT,1,8,0,0,4,2,0,0,0.667,183,45,28,3,23,4,41,13,12,2.4
50900,2020,NC,1,1,0,0,0,0,0,0,-,1,0,1,0,0,0,0,1,1,-
50901,2020,NC,1,1,0,0,0,0,0,0,-,3,1,0,0,0,0,0,0,0,0
50901,2021,NC,1,7,0,0,0,0,0,0,-,34,6 2/3,3,0,7,3,9,5,4,5.4
50904,2024,LG,1,27,0,0,1,2,0,1,0.333,119,26,26,4,16,0,28,13,12,4.15
50905,2021,NC,1,3,0,0,0,1,0,0,0,61,12 2/3,13,2,10,2,10,8,8,5.68
50912,2020,NC,1,29,0,0,11,9,0,0,0.55,696,157 2/3,164,12,63,10,125,87,82,4.68
50992,2020,NC,1,1,0,0,0,0,0,0,-,5,1,0,0,1,0,1,0,0,0
50992,2021,NC,1,7,0,0,0,0,0,0,-,63,15,11,1,9,1,10,8,8,4.8
50992,2022,NC,1,16,0,0,3,2,0,1,0.6,194,44 1/3,36,4,21,5,31,16,16,3.25
50992,2025,NC,1,3,0,0,0,0,0,1,-,29,4 1/3,8,2,6,1,5,12,6,12.46
50995,2022,NC,1,2,0,0,0,0,0,0,-,6,1 1/3,1,1,1,0,2,2,2,13.5
50995,2023,NC,1,4,0,0,0,1,0,0,0,64,12 2/3,16,3,12,0,6,11,11,7.82
51058,2021,KT,1,3,0,0,0,0,0,0,-,23,3 2/3,10,3,2,0,3,8,8,19.64
51058,2024,KT,1,10,0,0,0,4,0,0,0,103,19,29,4,18,0,17,22,21,9.95
51060,2021,KT,1,3,0,0,1,0,0,0,1,16,4,1,0,1,1,4,1,0,0
51060,2022,KT,1,2,0,0,0,0,0,0,-,10,2,3,0,0,1,1,1,1,4.5
51097,2023,KT,1,31,0,0,0,0,1,1,-,150,33,30,4,20,1,35,22,20,5.45
51097,2024,KT,1,8,0,0,0,0,0,0,-,39,7 1/3,9,1,7,1,8,6,4,4.91
51110,2024,LG,1,1,0,0,0,1,0,0,0,27,4,11,0,4,0,2,7,7,15.75
51111,2022,LG,1,7,0,0,0,1,0,0,0,40,8 1/3,9,1,6,0,10,5,5,5.4
51111,2023,LG,1,1,0,0,0,0,0,0,-,5,1,1,0,1,0,0,0,0,0
51111,2025,LG,1,8,0,0,3,3,0,0,0.5,190,45 2/3,36,4,16,0,42,15,15,2.96
51136,2021,LG,1,23,0,0,10,2,0,0,0.833,473,115 1/3,91,4,41,4,126,33,28,2.18
51143,2022,LG,1,1,0,0,1,0,0,0,1,22,5,5,0,4,0,4,2,2,3.6
51143,2023,LG,1,7,0,0,1,2,0,0,0.333,103,21 2/3,25,1,12,2,14,18,15,6.23
51143,2024,LG,1,1,0,0,0,0,0,0,-,9,1 1/3,2,1,3,0,2,3,3,20.25
51154,2021,LG,1,3,0,0,0,0,0,0,-,9,2 1/3,2,0,0,0,2,1,1,3.86
51154,2024,LG,1,8,0,0,0,1,0,0,0,58,13 1/3,17,3,4,0,6,10,10,6.75
51230,2022,Doosan,1,10,0,0,0,0,0,0,-,85,16 2/3,23,5,9,0,13,14,14,7.56
51230,2023,Doosan,1,18,0,0,3,6,0,0,0.333,334,78 1/3,73,5,35,4,59,37,36,4.14
51230,2024,Doosan,1,14,1,0,1,3,0,0,0.25,244,50,67,6,21,4,35,46,38,6.84
51234,2021,Doosan,1,21,1,0,9,9,0,0,0.5,540,124,132,5,42,12,112,44,41,2.98
51257,2021,Doosan,1,28,1,1,14,5,0,0,0.737,709,173 2/3,135,11,63,1,225,49,45,2.33
51257,2022,Doosan,1,3,0,0,0,0,0,0,-,43,7 2/3,2,0,18,1,8,7,7,8.22
51264,2021,Doosan,1,15,0,0,0,0,0,2,-,83,18 1/3,20,3,10,1,16,10,8,3.93
51264,2022,Doosan,1,48,0,0,3,7,0,5,0.3,423,93 1/3,104,8,43,2,64,59,55,5.3
51264,2023,Doosan,1,34,0,0,3,6,1,0,0.333,479,111,116,9,34,4,82,54,49,3.97
51264,2024,Doosan,1,12,0,0,2,0,0,1,1,124,27,37,6,7,0,21,19,18,6
51264,2025,Doosan,1,9,0,0,3,1,0,0,0.75,198,46,43,5,19,4,34,22,22,4.3
51294,2021,Doosan,1,1,0,0,0,0,0,0,-,3,1,0,0,0,0,2,0,0,0
51294,2024,Doosan,1,2,0,0,0,0,0,0,-,12,2 1/3,2,0,2,1,1,2,1,3.86
51301,2021,Kiwoom,1,46,0,0,1,3,0,2,0.25,188,41 2/3,40,4,23,0,31,30,24,5.18
51301,2022,Kiwoom,1,23,0,0,0,2,0,2,0,105,21 2/3,31,3,10,3,16,25,19,7.89
51301,2023,Kiwoom,1,55,0,0,3,3,0,7,0.5,208,47,44,5,25,1,38,19,19,3.64
51334,2021,Kiwoom,1,2,0,0,1,0,0,0,1,43,10,9,1,5,0,5,7,7,6.3
51359,2021,Kiwoom,1,19,0,0,0,1,0,0,0,92,17 2/3,15,0,24,3,14,18,18,9.17
51359,2022,Kiwoom,1,14,0,0,0,0,0,0,-,70,14,23,2,7,1,19,12,12,7.71
51359,2023,Kiwoom,1,23,0,0,1,5,0,0,0.167,339,71 2/3,63,4,66,8,67,46,44,5.53
51393,2021,Kiwoom,1,14,0,0,0,0,0,0,-,67,14 1/3,15,2,7,3,8,6,5,3.14
51393,2022,Kiwoom,1,12,0,0,0,1,0,0,0,61,13 1/3,9,0,13,2,6,3,3,2.03
51393,2023,Kiwoom,1,8,0,0,0,0,0,0,-,36,7 2/3,4,0,6,3,5,6,6,7.04
51439,2021,Samsung,1,11,0,0,2,5,0,0,0.286,244,52,46,3,38,4,55,33,31,5.37
51454,2021,Samsung,1,41,0,0,1,4,0,7,0.2,174,39 1/3,35,3,23,3,46,24,23,5.26
51454,2022,Samsung,1,58,0,0,2,4,1,14,0.333,212,47 2/3,43,5,21,3,57,28,24,4.53
51454,2023,Samsung,1,48,0,0,1,5,5,7,0.167,199,43 1/3,41,6,29,2,37,26,24,4.98
51454,2024,Samsung,1,17,0,0,6,4,0,0,0.6,384,87 1/3,88,9,37,6,68,44,41,4.23
51454,2025,Samsung,1,7,0,0,1,5,0,0,0.167,145,30 2/3,38,4,15,2,19,22,21,6.16
51460,2021,Samsung,1,5,0,0,0,1,0,0,0,95,21 2/3,24,2,10,0,17,13,13,5.4
51460,2023,Samsung,1,2,0,0,0,0,0,0,-,33,8,4,1,5,0,5,3,3,3.38
51460,2025,Samsung,1,11,0,0,0,2,0,4,0,39,9,7,0,5,0,9,3,3,3
51516,2021,Lotte,1,39,0,0,4,6,0,8,0.4,227,45 2/3,42,3,49,3,45,32,32,6.31
51516,2022,Lotte,1,14,0,0,2,5,0,0,0.286,227,46 2/3,43,3,35,8,52,36,33,6.36
51516,2023,Lotte,1,50,0,0,2,1,0,8,0.667,177,36 1/3,37,4,29,2,35,27,26,6.44
51516,2024,Lotte,1,19,0,0,4,3,0,0,0.571,388,84 2/3,89,13,44,3,87,54,50,5.31
51516,2025,Lotte,1,5,0,0,1,3,0,0,0.25,92,19 2/3,23,5,13,1,17,20,19,8.69
51526,2023,Lotte,1,3,0,0,0,0,0,0,-,29,6,6,0,4,1,5,5,4,6
51526,2024,LG,1,14,0,0,1,0,0,0,1,57,11 2/3,11,0,8,6,10,6,4,3.09
51526,2025,LG,1,9,0,0,0,0,0,0,-,38,8,12,0,4,1,5,4,4,4.5
51546,2021,Lotte,1,6,0,0,0,0,0,0,-,29,5 2/3,6,1,5,2,4,6,6,9.53
51546,2024,Lotte,1,8,0,0,0,0,0,0,-,40,8 1/3,10,2,7,0,5,4,4,4.32
51546,2025,Lotte,1,2,0,0,0,0,0,0,-,7,1 1/3,2,0,0,1,2,0,0,0
51567,2021,Lotte,1,37,0,0,9,8,0,1,0.529,677,150,147,20,75,20,124,97,90,5.4
51586,2021,Lotte,1,6,0,0,0,0,0,0,-,41,8,13,1,6,0,6,10,10,11.25
51586,2022,Lotte,1,1,0,0,0,0,0,0,-,8,1 2/3,3,0,0,0,2,1,1,5.4
51586,2023,Lotte,1,3,0,0,0,0,0,0,-,17,4 1/3,5,0,1,0,1,1,1,2.08
51594,2021,Lotte,1,19,0,0,0,2,0,1,0,79,14 2/3,24,3,12,1,13,23,22,13.5
51594,2024,Lotte,1,19,0,0,0,1,1,3,0,40,8 1/3,9,2,5,1,9,10,10,10.8
51594,2025,Lotte,1,25,0,0,0,0,0,3,-,48,11 1/3,5,1,10,0,14,4,4,3.18
51619,2021,KIA,1,21,0,0,8,3,0,0,0.727,502,120,109,12,35,8,104,53,48,3.6
51636,2021,KIA,1,7,0,0,1,3,0,0,0.25,168,36 2/3,46,4,12,4,46,22,20,4.91
51645,2021,KIA,1,3,0,0,0,0,0,0,-,11,3,2,0,1,1,3,0,0,0
51648,2021,KIA,1,19,0,0,4,5,0,0,0.444,404,94 2/3,69,6,56,2,93,42,38,3.61
51648,2022,KIA,1,29,0,0,10,10,0,0,0.5,671,154,128,18,74,9,161,79,66,3.86
51648,2023,KIA,1,28,0,0,11,7,0,0,0.611,598,131 2/3,103,4,93,8,156,64,58,3.96
51648,2024,KIA,1,4,0,0,1,0,0,0,1,69,13 1/3,17,3,14,0,14,10,8,5.4
51665,2021,KIA,1,21,0,0,2,1,0,2,0.667,114,23 1/3,13,1,29,4,22,11,9,3.47
51668,2021,KIA,1,25,0,0,2,1,0,5,0.667,118,24,26,5,18,3,17,20,20,7.5
51668,2022,KIA,1,1,0,0,0,0,0,0,-,4,1,0,0,0,1,1,0,0,0
51713,2022,Hanwha,1,12,0,0,0,0,0,1,-,70,13 2/3,16,2,12,0,11,11,8,5.27
51713,2023,Hanwha,1,23,0,0,0,1,1,0,0,85,19 2/3,16,0,10,2,20,7,6,2.75
51713,2024,Hanwha,1,58,0,0,1,0,0,4,1,270,59,66,6,28,4,40,50,46,7.02
51715,2021,Hanwha,1,15,0,0,2,4,0,0,0.333,260,53 2/3,63,4,36,4,36,32,28,4.7
51715,2022,Hanwha,1,5,0,0,0,2,0,0,0,63,12,14,4,11,1,8,10,8,6
51715,2023,Hanwha,1,37,0,0,1,3,0,1,0.25,253,56 1/3,58,4,29,9,46,33,29,4.63
51715,2024,Hanwha,1,27,0,0,5,4,0,0,0.556,286,59,83,8,27,6,39,44,43,6.56
51722,2021,Hanwha,1,31,0,0,5,12,0,0,0.294,746,170,150,16,72,19,179,90,75,3.97
51722,2022,Hanwha,1,4,0,0,0,1,0,0,0,79,18,19,1,6,1,15,6,5,2.5
51761,2021,Hanwha,1,20,0,0,1,3,0,0,0.25,177,38,34,3,25,4,26,21,19,4.5
51809,2021,SSG,1,6,0,0,0,0,0,1,-,38,7,10,0,9,0,4,6,6,7.71
51809,2022,SSG,1,23,0,0,2,1,0,5,0.667,89,19 1/3,17,2,13,4,15,15,14,6.52
51833,2021,SSG,1,15,0,0,6,4,0,0,0.6,351,81 1/3,88,7,30,6,70,54,53,5.86
51834,2021,SSG,1,4,0,0,1,0,0,0,1,56,14 1/3,15,2,2,0,9,6,6,3.77
51863,2021,SSG,1,25,0,0,8,5,0,0,0.615,604,145 2/3,114,12,45,6,157,66,56,3.46
51863,2022,SSG,1,28,1,0,13,6,0,0,0.684,729,184,141,18,34,6,170,63,55,2.69
51867,2021,SSG,1,6,0,0,0,1,0,0,0,54,11,8,1,12,0,7,7,6,4.91
51867,2022,SSG,1,2,0,0,0,0,0,0,-,17,3,5,1,4,0,1,3,3,9
51867,2025,SSG,1,20,0,0,1,2,0,2,0.333,96,20,19,1,14,4,21,13,12,5.4
51895,2021,SSG,1,60,0,0,2,5,1,10,0.286,342,80 1/3,84,6,19,4,51,40,35,3.92
51895,2022,SSG,1,40,0,0,2,0,0,6,1,231,55,56,6,11,3,33,26,26,4.25
51895,2024,SSG,1,18,0,0,0,0,0,0,-,101,21 1/3,29,3,10,1,10,16,16,6.75
51897,2021,SSG,1,3,0,0,0,0,0,0,-,33,6 2/3,7,1,5,1,8,7,6,8.1
51897,2024,SSG,1,76,0,0,4,6,12,12,0.4,302,73,52,8,31,2,96,34,29,3.58
51897,2025,SSG,1,18,0,0,3,1,6,0,0.75,70,18 2/3,13,1,3,0,17,3,2,0.96
51948,2021,NC,1,2,0,0,0,0,0,0,-,12,1 2/3,3,0,4,0,1,4,4,21.6
51948,2022,NC,1,10,0,0,0,1,0,0,0,116,22,33,4,13,3,19,23,21,8.59
51948,2023,NC,1,24,0,0,3,4,0,0,0.429,304,67,60,5,44,2,50,39,32,4.3
51948,2024,NC,1,9,0,0,2,3,0,0,0.4,157,33 2/3,42,5,14,1,26,28,25,6.68
51967,2021,NC,1,24,1,0,4,8,0,0,0.333,577,133,109,9,63,11,148,56,55,3.72
51967,2022,NC,1,8,0,0,1,2,0,0,0.333,182,43,34,4,21,1,43,19,17,3.56
51994,2022,NC,1,12,0,0,0,0,0,2,-,54,10 2/3,13,0,10,1,11,4,3,2.53
51994,2023,NC,1,11,0,0,0,1,0,0,0,44,9 2/3,9,2,5,0,10,5,5,4.66
